dport,pkts,bytes,seq,dur,mean,stddev,sum,min,max,spkts,dpkts,sbytes,dbytes,rate,srate,drate,proto_arp,proto_icmp,proto_ipv6-icmp,proto_proto,proto_tcp,proto_udp,label_bin
19017.0,1.0,60.0,35761.0,0.00013,0.00013,0.0,0.00013,0.00013,0.00013,1.0,0.0,60.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1
8883.0,20.0,9732.0,126856.0,25.0275,2.623019,1.892598,15.738111,0.0,4.99876,10.0,10.0,9072.0,660.0,0.759165,0.359662,0.359604,0,0,0,0,1,0,0
80.0,4.0,522.0,175692.0,40.052181,0.013115,0.018547,0.039344,0.0,0.039344,3.0,1.0,462.0,60.0,0.074902,0.049984,0.0,0,0,0,0,1,0,1
80.0,2495.0,2423690.0,629.0,16.204687,4.042542,1.646263,16.170168,1.19114,4.99913,1249.0,1246.0,1184728.0,1238962.0,153.906082,77.014755,76.82962,0,0,0,0,0,1,0
80.0,6.0,360.0,148764.0,18.616243,3.734591,0.011188,11.203773,3.724242,3.750088,6.0,0.0,360.0,0.0,0.268583,0.268583,0.0,0,0,0,0,0,1,1
80.0,1614.0,477744.0,584.0,59.798203,4.950733,0.083382,59.408798,4.676173,4.996172,1614.0,0.0,477744.0,0.0,26.974054,26.974054,0.0,0,0,0,0,1,0,0
0.0,2546.0,1809211.0,440.0,53.280949,4.807057,0.535707,52.877632,3.113454,4.996429,2546.0,0.0,1809211.0,0.0,47.765667,47.765667,0.0,0,0,0,0,1,0,0
80.0,2.0,308.0,242149.0,19.478951,0.0,0.0,0.0,0.0,0.0,2.0,0.0,308.0,0.0,0.051337,0.051337,0.0,0,0,0,0,1,0,1
5353.0,1.0,160.0,262162.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,160.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0
80.0,6.0,924.0,127472.0,37.605717,0.975139,1.950278,4.875695,0.0,4.875695,6.0,0.0,924.0,0.0,0.132959,0.132959,0.0,0,0,0,0,1,0,1
80.0,6.0,924.0,78682.0,48.790539,0.0,0.0,0.0,0.0,0.0,6.0,0.0,924.0,0.0,0.102479,0.102479,0.0,0,0,0,0,1,0,1
0.0,1865.0,1325814.0,3196.0,38.886074,4.843304,0.38839,38.746429,3.815916,4.999878,1865.0,0.0,1325814.0,0.0,47.934898,47.934898,0.0,0,0,0,0,1,0,0
80.0,4692.0,4388527.0,208.0,58.690426,4.878734,0.376793,58.544804,3.629187,4.999996,4692.0,0.0,4388527.0,0.0,79.927856,79.927856,0.0,0,0,0,0,1,0,0
80.0,4.0,616.0,128894.0,46.601387,0.0,0.0,0.0,0.0,0.0,4.0,0.0,616.0,0.0,0.064376,0.064376,0.0,0,0,0,0,1,0,1
80.0,5.0,770.0,40198.0,16.015417,2.703106,1.911386,8.109317,0.0,4.057718,5.0,0.0,770.0,0.0,0.249759,0.249759,0.0,0,0,0,0,1,0,1
