total_events,evt_epoll_wait,evt_switch,evt_select,evt_wait4,evt_times,evt_accept,evt_futex,evt_getsockname,evt_fcntl,evt_read,evt_stat,evt_openat,evt_mmap,evt_munmap,evt_madvise,evt_writev,evt_write,evt_close,evt_epoll_ctl,evt_clone,evt_set_robust_list,evt_mprotect,evt_sigaltstack,evt_rt_sigprocmask,evt_gettid,evt_nanosleep,evt_getpid,evt_tgkill,evt_epoll_pwait,evt_signaldeliver,evt_procexit,evt_execve,evt_brk,evt_access,evt_fstat,evt_arch_prctl,evt_getuid,evt_getgid,evt_geteuid,evt_getegid,evt_sysinfo,evt_rt_sigaction,evt_uname,evt_getcwd,evt_getppid,evt_socket,evt_connect,evt_lseek,evt_getpgrp,evt_prlimit,evt_getpeername,evt_pipe,evt_dup,evt_set_tid_address,evt_statfs,evt_exit_group,evt_rt_sigreturn,evt_fadvise64,evt_umask,evt_fchmodat,evt_ioctl,evt_newfstatat,evt_unlinkat,evt_shutdown,evt_sched_yield,evt_lstat,evt_lgetxattr,evt_getxattr,evt_getdents64,evt_poll,evt_pselect6,evt_mkdir,evt_readlink,evt_rename,evt_chmod,evt_unlink,evt_symlink,evt_getrandom,evt_sendmmsg,evt_recvfrom,evt_exit,evt_setsockopt,evt_getsockopt,evt_sendto,evt_link,evt_chdir,evt_setitimer,evt_sched_getaffinity,evt_readlinkat,evt_epoll_create1,evt_capget,evt_getpgid,evt_rt_sigsuspend,evt_kill,evt_alarm,evt_setgid,evt_chown,evt_getgroups,evt_setgroups,evt_setresgid,evt_setresuid,evt_prctl,evt_getresuid,evt_getresgid,evt_clock_gettime,evt_bind,evt_recvmsg,evt_lchown,evt_faccessat,evt_utimensat,evt_fstatfs,evt_fchdir,evt_flistxattr,evt_fgetxattr,evt_fsetxattr,evt_mremap,evt_setpgid,evt_timer_create,evt_timer_settime,evt_setuid,evt_mknod,evt_mount,evt_umount,evt_finit_module,label
13456,11440,516,136,60,340,60,3838,66,1042,12496,358,866,874,290,226,494,1288,1792,720,87,30,416,166,152,30,326,98,0,4,38,39,24,220,486,1616,332,18,56,6,84,8,4440,10,10,20,16,30,12,8,182,8,20,22,8,340,25,197,2,2,6,82,114,74,40,0,42,116,0,276,62,526,0,0,0,0,0,0,10,0,0,0,8,20,26,14,4,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,8,0,0,6,0,0,0,12,6,0,0,0,0,4,0,0,0,0,0,1
19736,4970,1495,60,750,384,104,3026,88,128,626,476,776,856,372,230,286,410,826,656,117,28,640,200,2510,28,0,24,0,128,41,42,40,156,120,7850,24,114,4,24,84,6,20,12,2,8,220,72,18,8,182,2,2,20,10,24,245,196,6,0,0,82,2,74,44,2,70,0,0,650,0,468,2,22,0,0,144,0,0,2,46,0,0,0,0,0,0,0,0,0,4,0,0,0,0,18,0,0,0,0,20,0,0,0,0,8,4,0,12,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1
19210,3236,934,58,134,334,90,1684,52,176,1938,382,846,1748,362,226,336,552,644,1080,135,32,3752,134,248,24,0,44,2,8,52,26,46,1432,70,1616,50,108,76,12,116,0,1828,10,0,0,40,8,922,0,20,6,8,656,10,332,13,0,4,2,0,44,114,2,52,54,6,0,0,8,0,0,4,22,0,0,22,0,0,8,0,0,0,0,0,0,2,0,4,0,0,6,16,0,0,18,16,0,0,0,20,10,0,0,0,4,0,14,0,0,24,26,0,0,6,12,32,0,0,0,0,0,0,0,0,1
1,4382,734,58,60,834,124,1490,64,68,724,596,208,532,270,130,180,96,454,802,0,10,0,20,60,6,0,0,0,10,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,4,4,0,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,76,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15217,53276,491,60,66,488,276,1248,134,152,640,586,452,470,194,84,180,298,470,1018,0,0,0,12,0,10,192,0,0,10,3,8,5,0,0,0,6,0,18,0,0,0,48,2,0,0,12,12,2,2,4,0,0,0,0,0,3,2,4,0,0,0,0,0,38,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13204,20646,445,58,66,316,132,1448,38,104,648,744,212,352,512,160,290,276,982,654,8,0,0,0,52,0,0,8,0,4,2,6,5,0,14,0,0,0,10,18,0,2,0,0,0,2,0,0,0,2,2,2,0,0,0,0,3,2,4,0,0,0,0,0,82,0,0,0,10,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12057,1112,658,58,58,340,98,862,54,164,1854,246,466,416,198,224,750,378,436,928,0,10,0,0,0,0,0,0,2,0,0,7,5,0,24,116,6,10,0,0,18,2,0,0,0,0,12,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,68,0,0,0,20,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16342,1500,1419,60,58,346,114,1138,52,1042,1662,366,2322,1552,464,124,544,840,1048,658,51,118,3748,188,112,20,206,80,2,24,30,28,665,2818,88,1616,18,48,84,12,4,6,1084,4,0,16,8,24,10,0,14,16,0,16,6,0,8,0,6,6,6,2,2,2,40,0,46,0,58,0,58,0,12,0,0,0,0,2,4,0,94,2,8,0,26,14,12,0,4,0,0,4,0,0,0,0,0,8,2,0,0,0,0,12,0,4,4,0,0,106,0,0,0,0,0,12,16,10,0,0,0,0,0,0,0,1
27607,2792,504,58,66,332,86,1138,42,104,998,314,192,444,878,198,236,668,500,886,0,10,0,0,0,8,0,0,0,14,7,3,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,2,0,2,0,0,0,0,3,0,2,0,0,0,0,0,80,0,0,24,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9436,4642,450,58,60,352,90,1208,56,244,866,710,346,444,640,122,396,324,1004,2070,0,0,54,0,0,0,172,8,0,0,0,0,5,0,14,0,6,0,0,0,0,2,48,0,0,2,0,4,0,0,4,0,0,0,2,0,5,2,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
